text,label
The quick brown fox jumps over the lazy dog.,0
This is a human-written sentence written naturally.,0
AI can generate text with impressive fluency and accuracy.,1
ChatGPT is capable of producing human-like responses.,1
I went to the market and bought some apples and bananas.,0
OpenAI has created a variety of models for language understanding.,1
Once upon a time in a small village there lived a happy family.,0
The model generates coherent text across different domains.,1
AI-generated scripts can now pass off as human.,1
I am enjoying the beautiful sunset at the beach.,0
